date,sku_id,category,demand,price,is_promotion,stock_available,competitor_oos
2022-01-01,SKU_001,Electronics,150,5230.95,0,238,0
2022-01-02,SKU_001,Electronics,142,5095.83,0,171,0
2022-01-03,SKU_001,Electronics,123,5207.03,0,199,0
2022-01-04,SKU_001,Electronics,132,4555.5,0,393,0
2022-01-05,SKU_001,Electronics,114,4680.89,0,326,0
2022-01-06,SKU_001,Electronics,127,5116.46,0,363,0
2022-01-07,SKU_001,Electronics,89,4790.27,0,108,0
2022-01-08,SKU_001,Electronics,156,4898.88,0,237,0
2022-01-09,SKU_001,Electronics,136,5284.12,0,100,0
2022-01-10,SKU_001,Electronics,94,4881.49,0,293,0
2022-01-11,SKU_001,Electronics,114,5106.52,0,70,0
2022-01-12,SKU_001,Electronics,122,4949.51,0,323,0
2022-01-13,SKU_001,Electronics,113,4596.75,0,389,0
2022-01-14,SKU_001,Electronics,132,4740.08,0,493,0
2022-01-15,SKU_001,Electronics,144,4533.48,0,255,0
2022-01-16,SKU_001,Electronics,132,4890.08,0,99,0
2022-01-17,SKU_001,Electronics,105,5019.06,0,155,0
2022-01-18,SKU_001,Electronics,133,5066.69,0,240,0
2022-01-19,SKU_001,Electronics,118,4894.17,0,319,0
2022-01-20,SKU_001,Electronics,135,5226.23,0,320,0
2022-01-21,SKU_001,Electronics,119,4887.7,0,387,0
2022-01-22,SKU_001,Electronics,141,5038.68,0,329,0
2022-01-23,SKU_001,Electronics,128,5041.69,0,90,0
2022-01-24,SKU_001,Electronics,110,4795.31,0,350,0
2022-01-25,SKU_001,Electronics,112,4504.62,0,188,0
2022-01-26,SKU_001,Electronics,128,4697.9,0,441,0
2022-01-27,SKU_001,Electronics,131,4573.13,0,280,0
2022-01-28,SKU_001,Electronics,130,5150.05,0,77,0
2022-01-29,SKU_001,Electronics,149,4829.93,0,97,0
2022-01-30,SKU_001,Electronics,156,4869.84,0,111,0
2022-01-31,SKU_001,Electronics,135,5136.53,0,84,0
2022-02-01,SKU_001,Electronics,110,4971.22,0,150,0
2022-02-02,SKU_001,Electronics,109,4755.12,0,332,0
2022-02-03,SKU_001,Electronics,130,5021.73,0,64,0
2022-02-04,SKU_001,Electronics,119,4700.78,0,401,0
